,DatePC,TimePC,AirTemperaturedegC,CO2ppm,CellPressureLi820kPa,GPSDate,GPSTime,GPSLatdeg,GPSLondeg,GPSHeightm,GPSHorizontalPosErrorm,GPSSpeedkmh,GPSStatus,FlagPoints
72,14/09/11,14:18:59,18.9,395.7,63.27,14/09/11,14:15:07,49.28866666666667,-123.12905,51.0,12,0,2D GPS,
73,14/09/11,14:19:00,18.87,395.7,63.27,14/09/11,14:15:08,49.28866666666667,-123.12905,51.0,12,0,2D GPS,
74,14/09/11,14:19:01,18.74,405.3,63.28,14/09/11,14:15:09,49.28866666666667,-123.12905,51.0,12,0,2D GPS,
75,14/09/11,14:19:02,-9999.0,-9999.0,-9999.0,14/09/11,14:15:10,49.28866666666667,-123.12905,51.0,12,0,2D GPS,
76,14/09/11,14:19:03,18.67,408.7,63.27,14/09/11,14:15:11,49.28866666666667,-123.12905,51.0,12,0,2D GPS,
77,14/09/11,14:19:04,18.62,399.5,63.28,14/09/11,14:15:12,49.28866666666667,-123.12905,51.0,12,0,2D GPS,
78,14/09/11,14:19:05,18.65,394.7,63.28,14/09/11,14:15:13,49.28866666666667,-123.12906666666666,51.0,12,0,2D GPS,
79,14/09/11,14:19:06,18.71,392.2,63.3,14/09/11,14:15:14,49.28928333333333,-123.13006666666665,51.0,8,31,2D GPS (differential),
80,14/09/11,14:19:07,18.69,393.3,63.3,14/09/11,14:15:15,49.28934999999999,-123.13018333333335,51.0,8,32,2D GPS (differential),
81,14/09/11,14:19:08,18.66,392.6,63.3,14/09/11,14:15:16,49.28941666666667,-123.13028333333334,51.0,8,31,2D GPS (differential),
82,14/09/11,14:19:09,18.66,400.1,63.3,14/09/11,14:15:17,49.28946666666666,-123.13038333333334,51.0,8,31,2D GPS (differential),
83,14/09/11,14:19:10,18.65,417.2,63.31,14/09/11,14:15:18,49.289516666666664,-123.13046666666668,51.0,8,31,2D GPS (differential),
84,14/09/11,14:19:11,18.62,416.5,63.31,14/09/11,14:15:19,49.28958333333333,-123.13055000000001,51.0,8,31,2D GPS (differential),
85,14/09/11,14:19:12,18.6,410.0,63.31,14/09/11,14:15:20,49.289633333333335,-123.13063333333335,51.0,8,31,2D GPS (differential),
86,14/09/11,14:19:13,18.58,415.9,63.31,14/09/11,14:15:21,49.28968333333333,-123.13071666666669,51.0,8,31,2D GPS (differential),
87,14/09/11,14:19:14,18.55,402.5,63.3,14/09/11,14:15:22,49.289733333333345,-123.13106666666665,51.0,8,31,2D GPS (differential),
88,14/09/11,14:19:15,18.51,394.0,63.31,14/09/11,14:15:23,49.28978333333333,-123.13114999999999,51.0,8,31,2D GPS (differential),
89,14/09/11,14:19:16,18.47,391.3,63.3,14/09/11,14:15:24,49.28983333333334,-123.13123333333333,51.0,8,31,2D GPS (differential),
90,14/09/11,14:19:17,18.43,391.3,63.32,14/09/11,14:15:25,49.28988333333333,-123.13133333333333,51.0,8,31,2D GPS (differential),
91,14/09/11,14:19:18,18.41,391.9,63.32,14/09/11,14:15:26,49.28993333333334,-123.13141666666667,51.0,8,31,2D GPS (differential),
92,14/09/11,14:19:19,18.39,391.9,63.32,14/09/11,14:15:27,49.28998333333334,-123.13151666666668,51.0,8,31,2D GPS (differential),
93,14/09/11,14:19:20,18.37,393.3,63.33,14/09/11,14:15:28,49.290033333333334,-123.13160000000002,51.0,8,31,2D GPS (differential),
